iter	Passed	Remaining
982	38159	659
983	38197	621
984	38236	582
985	38274	543
986	38312	504
987	38349	465
988	38389	426
989	38427	388
990	38465	349
991	38502	310
992	38540	271
993	38578	232
994	38616	194
995	38654	155
996	38693	116
997	38731	77
998	38773	38
999	38812	0
